Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
1652,CryptoWeebs,ETH,415.6,null,-100.00%,9,56,72
1653,The Tiger Archives - PMC x Tiger Beer,ETH,415.37,-44.32%,-7.84%,0.02,2.8K,6.7K
1654,Zooverse Genesis,ETH,414.86,9.68%,32.38%,---,394,444
1655,Museum The White Room,ETH,414.74,null,62.38%,< 0.01,2.4K,4.8K
1656,Cypher City,ETH,414.74,120.00%,112.34%,0.01,2.8K,8.9K
1657,SpiroFlakes by Alexander Reben,ETH,413.68,null,-82.91%,0.03,747,1.0K
1658,Gods Unchained Collectibles,ETH,413.58,-63.77%,-19.68%,0.01,7.9K,37.9K
1659,Queens+Kings Genesis,ETH,413.31,-100.00%,48.96%,---,305,828
1660,Crypto Packaged Goods,ETH,413.05,null,-100.00%,---,300,11
1661,Somewhere Else: A Collection of 100 Palms by Will Nichols,ETH,412.61,-100.00%,null,1.9,72,100
1662,Royal LDAs,ETH,412.44,-51.39%,15.94%,0.07,2.4K,3.2K
1663,Dvision Land - London & Tokyo,ETH,412.22,1638.57%,5.06%,0.07,1.1K,4.7K
1664,Junior Punks,ETH,411.94,null,-34.24%,0.03,2.6K,5.6K
1665,Dapper Dinos Karma Collective,ETH,411,-100.00%,-1.25%,---,420,555
1666,TCG Dragon Cave Club,ETH,409.67,68.09%,-24.92%,0.29,2.9K,10.0K
1667,Zedd x Silly Gabe x Fvckrender,ETH,408.4,-100.00%,-68.75%,---,135,1.3K
1668,Barefoot Parrots Island,ETH,408.39,null,-83.95%,0.02,3.4K,12.6K
1669,Shiba Shelter NFT,ETH,408.04,8.89%,-33.42%,0.02,2.0K,5.6K
1670,Bong Bears,ETH,407.05,null,null,---,78,107
1671,Forever Fomo Duck Squad,ETH,406.41,-27.66%,92.01%,0.11,2.3K,7.8K
1672,Hieroglyphs by pxlq,ETH,406.32,null,-100.00%,0.09,580,1.0K
1673,Pirate Treasure Booty Club,ETH,405.95,106.67%,-39.95%,< 0.01,1.7K,4.9K
1674,Speckled Summits by Jake Rockland,ETH,405.38,-100.00%,null,4,58,72
1675,EnergySculpture by Beervangeer,ETH,404.9,-100.00%,null,0.24,204,369
1676,pplpleasr,ETH,404.64,-100.00%,null,1.08,138,146
1677,ZED RUN,ETH,404.23,22.07%,35.68%,< 0.01,18.4K,152.5K
1678,Aku: Chapter III by Micah Johnson,ETH,401.88,-100.00%,-72.29%,1,316,1.6K
1679,Mutant Punks NFT,ETH,401.54,-2.58%,168.60%,0.02,4.6K,10.0K
1680,hauspets,ETH,401.36,1911.61%,380.28%,0.12,3.7K,7.2K
1681,BlankosBlockParty,ETH,401.33,-86.51%,3998.59%,0.15,561,1.2K
1682,BONEHEADS - Origins,ETH,400.99,-100.00%,-38.17%,0.03,1.8K,10.0K
1683,LARVA-OFFICIAL,KLAY,"1,051,334.68",23.58%,6.48%,338,3.0K,10.0K
1684,Stoned Apez Saturn Club,ETH,399.62,112.63%,-43.53%,< 0.01,2.3K,7.0K
1685,XONE Official,ETH,399.29,-45.67%,134.76%,0.08,1.0K,3.1K
1686,Moonlings NFT Official,ETH,399.18,-18.14%,-51.03%,0.03,3.3K,10.0K
1687,Punk Mfers,ETH,399.17,-71.05%,-45.43%,< 0.01,2.8K,6.7K
1688,EnterDAO Sharded Minds,ETH,398.68,-59.60%,-39.24%,0.1,1.6K,5.0K
1689,Billionaire Bunker,ETH,398.14,441.46%,-72.97%,0.05,2.1K,4.4K
1690,Wooshi World Collection,ETH,397.18,134.36%,-7.32%,0.02,4.6K,11.1K
1691,Ghozali Everyday,ETH,396.97,null,-11.55%,0.06,508,933
1692,RTFKT - Mintdisc 3,ETH,395.94,-100.00%,68.00%,0.88,443,817
1693,Idols NFT,ETH,395.2,39.58%,-38.85%,0.22,1.9K,10.0K
1694,etherscissors official,ETH,394.44,null,null,---,77,100
1695,Sushiverse,ETH,394.07,776.67%,-54.10%,< 0.01,3.8K,10.0K
1696,no more official emates,ETH,393.02,-100.00%,-59.39%,< 0.01,1.4K,8.0K
1697,Footium Football Clubs,ETH,392.06,79.85%,40.90%,0.17,1.2K,3.0K
1698,Flush.lol NFT collection,ETH,391.6,null,null,0.2,39,3
1699,HypnoDuckz Genesis,ETH,391.49,-43.46%,-66.85%,0.45,376,555
1700,CYE ChuchuCAT V0,KLAY,"1,028,725.21",-36.01%,-33.92%,310,1.1K,3.5K
1701,Mutant-Gorillas,ETH,390.89,-100.00%,-85.45%,0.01,1.4K,8.9K
1702,The MetaPortal,ETH,390.36,273.89%,-5.89%,0.4,941,1
1703,DystoLabs: DystoMice,ETH,389.95,-100.00%,null,< 0.01,1.7K,7.9K
1704,Curious Addys' Trading Club,ETH,389.14,93.14%,20.48%,0.18,2.2K,5.0K
1705,Baby Combat Bots G1,ETH,389.07,null,400.85%,0.02,1.4K,3.5K
1706,Calendart by steen & n-e-o,ETH,387.68,null,null,0.12,237,365
1707,PugFrens,ETH,387.58,-38.25%,-48.88%,< 0.01,3.6K,8.8K
1708,Void by Alexis Andr̩,ETH,387.2,null,-100.00%,0.5,219,500
1709,NFT2040 Crates,ETH,386.96,9.05%,-81.16%,0.23,878,2.5K
1710,PrimiDance by wuwa,ETH,386.84,null,null,---,189,256
1711,WeMint Washington,ETH,386.64,-100.00%,-66.67%,< 0.01,3.7K,10.0K
1712,Zuzana Breznanikova Art (Featured collection),ETH,386.05,-100.00%,-47.90%,---,288,101
1713,BlockchainCuties,ETH,385.4,-100.00%,17.95%,< 0.01,4.8K,125.0K
1714,MGDC,ETH,385.32,-12.37%,-3.07%,0.02,2.2K,3.8K
1715,Cosmos Kidz,ETH,384.7,63.19%,-59.75%,0.05,2.8K,6.1K
1716,I Saw It in a Dream by Steve Pikelny,ETH,384.44,null,null,0.1,566,1.0K
1717,Sad Bots Genesis,ETH,384.3,-1.02%,-49.90%,0.03,2.0K,3.1K
1718,The Mysterious World,ETH,384.2,118.02%,-71.48%,0.02,2.5K,6.7K
1719,World of Girls Official,ETH,383.99,45.00%,116.98%,< 0.01,1.4K,2.5K
1720,AnimalsPunks V2,KLAY,"1,009,138.64",390.26%,6.36%,18,1.6K,10.0K
1721,Stella Artois - Racing in THE LIFE ARTOIS,ETH,382.95,null,null,---,30,50
1722,Holy Villains,ETH,382.52,-82.04%,-4.13%,0.11,1.1K,3.3K
1723,Aetherian Deed,ETH,381.79,-100.00%,14.01%,---,114,1.6K
1724,Petra Cortright - Room,ETH,381.5,-100.00%,null,0.5,161,303
1725,METAKAYS.,ETH,381.34,-34.87%,-42.03%,0.04,3.0K,8.9K
1726,Wizards & Dragons Game - Sacrificial Altar,ETH,380.11,1045.45%,-52.23%,0.03,2.0K,7
1727,Doge: Proof of WOW,ETH,379.99,null,null,---,18,85
1728,REAL INFAMOUS SKULLZ,ETH,379.51,null,160.92%,< 0.01,3.3K,10.0K
1729,Bitbones,ETH,379.15,null,-18.57%,0.1,504,1.0K
1730,Lobby Lobsters,ETH,379.09,87.69%,-75.01%,0.02,2.5K,10.0K
1731,Recon Rams,ETH,379.06,2.92%,-1.61%,0.07,1.8K,4.2K
1732,Ethereal Art - Asia Ladowska,ETH,378.91,138.62%,-89.48%,0.03,2.0K,4.9K
1733,The Opera by Luke Shannon,ETH,378.84,null,null,---,139,256
1734,Fast Food Nouns,ETH,378.79,-100.00%,-85.00%,< 0.01,401,1.0K
1735,Neo Tokyo Outer Lands,ETH,378.69,-47.60%,-52.53%,0.29,3.5K,3.9K
1736,Hungry Wolves,ETH,377.83,-83.53%,-17.29%,0.1,1.4K,6.0K
1737,Mani Grupa Token,ETH,377.81,null,null,---,127,17
1738,Azuki Mfer,ETH,377.68,-80.05%,-65.25%,0.01,2.9K,10.0K
1739,RichKidsOfficial,ETH,376.77,-58.06%,8.43%,< 0.01,3.0K,7.4K
1740,IMMORTALZ - Ambary Assassins,ETH,376.03,-32.35%,-59.49%,0.03,1.8K,4.5K
1741,OnChain Seasides,ETH,375.89,null,65.21%,0.02,1.5K,3.3K
1742,Binance,ETH,375.5,-100.00%,-95.59%,< 0.01,50.1K,59.0K
1743,Epic Eagles,ETH,375.29,284.73%,-43.13%,0.02,3.8K,7.7K
1744,DRM - Dont Rug Me - Cryptocurrency CCG Official Cards,ETH,374.88,-100.00%,-93.31%,0.01,1.5K,197
1745,More Loot,ETH,373.62,105.13%,-94.12%,< 0.01,23.3K,128.5K
1746,CyberTHUG V2,KLAY,"980,348.89",null,null,---,98,6.8K
1747,CHAOS Urs Fischer,ETH,372.46,null,null,---,40,115
1748,Kenome,KLAY,"978,086.60",264.09%,172.24%,235,192,10.7K
1749,Project Draca: Genesis,ETH,371.5,-100.00%,140.41%,---,513,996
1750,Mad Meerkat Burrow,ETH,371.48,211.78%,93.72%,3.28,392,777
1751,DO NOT BUY - ONLY BUY FROM OUR POLYGON LISTING,ETH,371.03,null,-100.00%,---,1.1K,7.5K
1752,Cat Town Punks,KLAY,"974,299.50",-32.70%,18.18%,10,1.2K,20.0K
1753,Seasons by DirtyRobot,ETH,370.38,-100.00%,null,0.04,545,5.1K
1754,Phrocks (Legacy),ETH,369.96,null,null,---,19,100
1755,LeapN Founders Deed World,ETH,369.37,73.33%,-36.50%,0.79,328,603
1756,Juicebox Frens,ETH,369.03,4839.53%,null,0.12,2.4K,7.0K
1757,WanderVerse Official,ETH,368.27,-47.37%,-99.98%,< 0.01,2.7K,7.8K
1758,Chain Scouts Genesis,ETH,367.08,31.06%,-89.36%,0.04,1.2K,6.9K
1759,PPPandas,ETH,366.49,null,121.91%,0.01,1.3K,4.0K
1760,OG (original garage) Social Club by Tai Lopez,ETH,366.48,-69.19%,-59.73%,0.55,985,2.3K
1761,Dogepunks,ETH,366.23,null,-100.00%,---,92,168
1762,Blockchain Art Institute,ETH,365.66,null,null,0.01,755,8.9K
1763,DWCNFT GENESIS PASSES,ETH,365.47,null,33.28%,4.8,249,1
1764,ParanormiesNFT,ETH,364.96,-54.48%,50.77%,0.02,1.5K,4.2K
1765,Fewmans,ETH,364.64,null,null,---,5.1K,9.3K
1766,Spatial Frequency by Malus Creations,ETH,364.63,-100.00%,-54.49%,0.04,702,999
1767,Rare Ghost Club (RGC),ETH,364.47,225.84%,-65.05%,0.04,2.5K,5.0K
1768,0xmusic,ETH,364.23,-100.00%,-3.17%,0.18,429,777
1769,Sashimono By Bushidos,ETH,364.2,-100.00%,702.94%,---,500,888
1770,INCOOOM,ETH,364.06,null,null,---,400,2.9K
1771,Bored Ape Comic Printing Press,ETH,363.92,null,null,---,1,3
1772,Lava Glow by JEANVASCRIPT,ETH,363.45,-100.00%,142.42%,0.08,308,499
1773,Boring Bananas Co.,ETH,363.29,-100.00%,-16.30%,< 0.01,2.2K,8.9K
1774,Neighborhood by Jeff Davis,ETH,363.07,null,null,0.25,232,312
1775,Mecha Chaotic: Bedlam,ETH,362.79,null,346.26%,0.05,1.5K,3.6K
1776,Purojekuto3333 by Hisoka Gaka,ETH,362.38,-100.00%,99.81%,0.08,564,2.2K
1777,RUG.WTF,ETH,362.27,-53.26%,-0.87%,0.02,2.6K,10.0K
1778,NFTNerds,ETH,361.96,-100.00%,null,5.15,96,1
1779,"Kai-Gen by Takeshi Murata, Christopher Rutledge, J. Krispy",ETH,361.87,-100.00%,-13.64%,0.07,805,2.0K
1780,Golden Token: Rituals Venice,ETH,361.44,null,null,---,7,200
1781,Social BEES University,ETH,358.78,null,74.61%,0.08,6.3K,10.0K
1782,Two Bit Bears,ETH,357.81,26.52%,-44.35%,0.03,1.6K,5.0K
1783,Enchiridion by Generative Artworks,ETH,356.37,null,null,0.08,578,1.0K
1784,D'EVOLs,ETH,355.81,null,null,---,89,123
1785,Baby Llama Club,ETH,355.69,10.00%,-79.32%,< 0.01,2.8K,7.8K
1786,Gizmobotz by Mark Cotton,ETH,353.63,null,2901.00%,0.1,623,1.0K
1787,Sins Finance Nodes,ETH,353.45,22.92%,3.18%,0.05,717,1.6K
1788,Artificial Intelligence Art,ETH,352.2,null,null,0.09,461,1.0K
1789,Knights of Degen - Mint Pass,ETH,351.2,null,null,---,14,27
1790,All Stars Club | ASC,ETH,350.39,627.30%,27.53%,0.06,1.4K,2.5K
1791,Seadragons by Marcin Ignac,ETH,350.39,null,-100.00%,---,687,1.0K
1792,The League Of Sacred Devils,ETH,349.91,null,-46.65%,< 0.01,3.7K,10.0K
1793,Infinity Frogs NFT,ETH,349.48,-75.95%,39.21%,0.02,3.6K,10.0K
1794,The Burrows NFT,ETH,349.3,127.27%,-58.45%,---,3.2K,5.5K
1795,Coalition Crew,ETH,349.27,-30.03%,-51.58%,1.7,527,1.0K
1796,DeltaHub.Capital,ETH,349.08,null,null,0.09,597,5
1797,onlySnipers,ETH,349.03,-4.07%,-37.36%,0.33,870,999
1798,SameToadz,ETH,348.79,null,276.38%,< 0.01,3.3K,7.0K
1799,The Meta Stars,ETH,348.47,null,-26.86%,0.03,1.8K,4.8K
1800,2112.run rootPasses,ETH,347.35,1461.08%,-67.44%,0.02,1.3K,6
1801,LIT Project Two: Motion,ETH,347.21,-76.51%,-68.76%,0.04,3.7K,4.6K
1802,FiatWorks 3000,ETH,346.9,-70.71%,94.25%,0.18,2.5K,2.6K
1803,Song A Day,ETH,346.72,52.50%,1.78%,0.06,1.6K,4.3K
1804,Badass Bulls,ETH,345.3,-100.00%,6.42%,0.01,1.0K,2.2K
1805,Legends of Luna,ETH,345.26,null,null,---,1,19
1806,Ethalien VOX,ETH,345,-45.40%,2.98%,0.03,3.2K,10.0K
1807,RATATTACK SIGNS,ETH,344.89,null,-100.00%,---,6,8
1808,New World Order - NWO,ETH,344.75,-86.12%,-58.46%,0.03,3.2K,7.2K
1809,R3sonance by ge1doot,ETH,344.52,null,null,0.6,248,512
1810,TGOL FOUNDER SALE,ETH,344.43,null,-56.01%,---,1.4K,8
1811,Diela Maharanie,ETH,344.37,null,-78.26%,0.15,327,38
1812,Block Queens by Jeremy Cowart,ETH,344.31,-87.14%,-70.39%,0.15,700,999
1813,FREAKS OF FAME,ETH,344.27,307.83%,16.15%,< 0.01,6.1K,12
1814,Cubeverse,ETH,343.29,null,-19.80%,0.01,1.5K,3.3K
1815,Tools of Rock: VIP Pass,ETH,342.4,49.08%,41.62%,0.29,1.4K,2.5K
1816,Baby Ape Mutant Club,ETH,342.26,-95.21%,-36.35%,< 0.01,3.9K,6.7K
1817,2545 By Gr4y,ETH,341.76,-100.00%,-76.33%,< 0.01,2.9K,10.0K
1818,Pepelangelo Oil to NFT,ETH,341.65,-100.00%,-41.28%,---,41,75
1819,PREMINT Creator Pass,ETH,341.56,-12.39%,54.00%,1,372,400
1820,NAMEWEE4896 Collection,ETH,341.45,null,null,---,141,263
1821,OnChain Wine,ETH,341.11,-100.00%,-20.00%,---,602,1.0K
1822,Lucha Libre Knockout,ETH,340.99,258.20%,41.02%,0.01,3.2K,10.0K
1823,Beyond Humanity (Official),ETH,340.94,9800.00%,-85.73%,< 0.01,1.8K,4.4K
1824,Misfit University Official,ETH,340.94,null,953.33%,< 0.01,2.5K,10.0K
1825,Netvrk Transports,ETH,339.52,-65.61%,469.55%,0.1,2.0K,5.2K
1826,Squarmies,ETH,339.52,90.83%,-37.61%,0.02,1.6K,3.5K
1827,Basement Dwellers,ETH,339.5,150.00%,null,< 0.01,3.4K,9.9K
1828,CryptoLeos,ETH,339.28,356.52%,3.33%,0.07,341,1.0K
1829,GFC Genesis Key,ETH,339.15,null,-21.17%,---,474,3
1830,Forgotten Runes Ponies,ETH,338.24,null,-70.54%,---,343,459
1831,Doug TenNapel's Eternal Klay,ETH,337.52,-100.00%,0.50%,0.04,1.1K,3.3K
1832,MADworld X B.Duck,ETH,337.26,null,-86.97%,0.02,1.7K,4.0K
1833,Showdeer,ETH,337.16,null,62.50%,0.2,341,690
1834,GalaXY Kats Universe,ETH,337.15,-66.89%,-59.16%,0.05,3.0K,10.0K
1835,ALTAVA Second Skin Metamorphosis,ETH,337.02,-17.57%,0.28%,0.39,1.4K,2.3K
1836,Floki Inu - Diamond Hands - Ruby Tier,ETH,336.69,null,-100.00%,---,389,453
1837,Originxls,ETH,336.28,null,null,---,8,16
1838,VaccineCovid19,ETH,336.05,null,null,---,335,8.0K
1839,Affe mit Waffe,ETH,335.22,-100.00%,-27.96%,---,86,139
1840,Gen 2 by DCA,ETH,335.04,null,null,1.1,101,256
1841,Baller Bears NFT,ETH,334.98,154.28%,39.36%,0.07,1.3K,4.4K
1842,Gravity 16 by Jimmy Herdberg,ETH,334.09,null,null,---,691,1.0K
1843,BabyElonWorld,ETH,333.47,77.78%,-54.97%,0.04,2.4K,4.0K
1844,URS Pass,ETH,333.34,-100.00%,null,0.02,674,976
1845,Nifty Island: Ultra Blades,ETH,333.25,null,1506.06%,0.6,235,2
1846,GuoChanLiangXin,ETH,332.86,-34.81%,1252.15%,0.08,495,1.0K
1847,ClayPunks,ETH,332.58,null,-100.00%,---,283,564
1848,Goblin Goons,ETH,332.23,null,900.00%,---,1.4K,4.7K
1849,GFC Genesis Weapon,ETH,331.65,26.66%,-67.30%,---,1.4K,48
1850,E-DAMER,ETH,330.87,82.07%,-86.23%,1.39,376,520
1851,Drop Bears Official,ETH,330.49,105.41%,-60.72%,0.02,4.1K,10.0K
1852,LEGENDZ,ETH,330.13,null,214.55%,0.05,521,1.2K
1853,MethodNFT,ETH,329.9,null,null,---,1.8K,5.1K
1854,Async Blueprints,ETH,328.36,616.36%,-85.10%,0.01,2.7K,7.6K
1855,Game Disease,ETH,325.9,400.00%,-37.43%,0.05,1.9K,6.4K
1856,Exclusible Gold Alpha,ETH,325.38,-100.00%,61.68%,3.19,313,388
1857,Apes 3D,ETH,325.17,null,-62.17%,0.15,479,1.0K
1858,HOODIES by JakNFT,ETH,324.86,null,null,0.75,82,99
1859,Surrogates,ETH,324.58,-100.00%,null,---,92,150
1860,The Sandbox Metavex LAND Sale,ETH,324.45,null,-100.00%,---,2,3
1861,Crumbys Bakery,ETH,324.03,null,null,0.05,520,1.0K
1862,Rhythm by Jeff Davis,ETH,323.94,null,null,1.51,163,334
1863,Starlink PixelNauts,ETH,323.57,134.02%,99.36%,0.05,1.7K,10.0K
1864,CULT&RAIN - The Genesis Collection,ETH,322.66,null,-97.81%,---,657,1.4K
1865,Mech Identity Protocol Tickets,ETH,322.26,6.32%,-54.22%,0.03,1.8K,7
1866,CurrencyPunks,ETH,322.18,-100.00%,-43.10%,< 0.01,5.9K,10.0K
1867,National Parks NFT,ETH,322.13,-11.23%,-57.87%,0.06,1.8K,4.8K
1868,CryptoMorph,ETH,321.92,null,99.10%,0.01,1.1K,6.4K
1869,Gangland Skulls,ETH,321.91,-100.00%,-38.34%,0.13,589,371
1870,Timepiece by WAWAA,ETH,321.46,null,null,0.11,365,500
1871,Signature Sneakers Generative,ETH,321.09,378.42%,24.45%,0.13,487,777
1872,SoulCurryArt,ETH,320.49,-3.23%,null,---,359,109
1873,The Ascendants - Gifts of The Gods,ETH,320.33,196.50%,183.75%,0.79,605,2
1874,Infinity Star,ETH,319.15,null,-100.00%,---,436,4.6K
1875,Bored Mummy Baby Waking Up,ETH,319.01,-26.16%,-19.34%,0.02,2.6K,3.9K
1876,Traversals by Loren Bednar,ETH,317.78,null,-100.00%,0.89,98,150
1877,Arcus by Rik Oostenbroek,ETH,317.59,null,null,---,31,40
1878,REFLECTIONS NFT by Rich Simmons,ETH,317.25,-100.00%,-87.37%,0.04,1.9K,3.3K
1879,MineablePunks,ETH,317.08,null,-100.00%,0.03,357,1.1K
1880,Onion Meta Official,ETH,316.59,-100.00%,-39.82%,0.19,297,366
1881,Space Doodles,ETH,316.36,-100.00%,400.76%,13.8,2.2K,5.0K
1882,REVV Racing,ETH,316.07,-37.18%,107.39%,< 0.01,55.7K,162.1K
1883,Chads NFT,ETH,316.06,null,76.86%,< 0.01,2.4K,10.0K
1884,Realiti,ETH,315.86,null,null,---,80,186
1885,The Lxveless,ETH,315.66,-100.00%,null,0.04,187,436
1886,Synth Heads,ETH,315.45,-54.64%,-4.84%,0.08,1.2K,3.0K
1887,ART CARPET BOMBING,KLAY,"828,792.99",-77.71%,-33.24%,17,1.3K,10.0K
1888,GRAVEL,ETH,314.35,null,null,---,994,2.5K
1889,KinkySkullx,ETH,314.22,null,-13.33%,---,158,501
1890,Physarum Series,ETH,314.1,null,null,---,158,250
1891,Creature Playground,ETH,313.89,null,14.78%,0.01,4.2K,8
1892,Zuki mfer,ETH,313.58,null,-87.85%,< 0.01,2.3K,7.0K
1893,dogedash,ETH,312.41,-100.00%,75.77%,0.05,1.6K,4.1K
1894,EarlyBroadcasterComics,ETH,312.2,null,null,---,372,555
1895,GM PUNKS,ETH,311.91,null,-100.00%,---,181,303
1896,The Cyclops Monkey Club,ETH,311.91,90.00%,-33.64%,< 0.01,4.2K,6.7K
1897,MINDDS COLLAB LAND,ETH,311.77,-100.00%,-72.54%,0.05,581,19
1898,PolygonPunks - Official Collection,ETH,311.58,-74.87%,116.23%,0.02,2.3K,10.0K
1899,OSRS Punks,ETH,310.87,null,-73.13%,---,792,2.0K
1900,Everyday Goddesses,ETH,310.26,-51.10%,-89.78%,0.05,1.4K,2.2K
1901,Pudgy Pixel Penguins,ETH,310.21,null,-100.00%,---,1.6K,4.4K
1902,USD//C,ETH,310.08,null,null,---,283.4K,1
1903,Ape Harbour Yachts,ETH,309.92,null,76.47%,0.03,2.5K,7.8K
1904,Skullx,ETH,308.73,1032.38%,-16.96%,0.02,2.6K,10.0K
1905,Bad Baby Dinos,ETH,308.56,-84.14%,-6.06%,0.14,1.8K,7.8K
1906,XenoInfinity,ETH,307.54,-7.19%,1122.95%,0.29,812,2.6K
1907,CryptoShibes,ETH,307.15,816.99%,-2.72%,< 0.01,3.6K,10.0K
1908,Star Flower by Ruben Alexander,ETH,307.01,null,-70.63%,0.05,675,1.0K
1909,Rabbit College Club,ETH,305.92,null,672.00%,< 0.01,2.3K,10.0K
1910,Raccoon Mafia,ETH,305.76,null,56.33%,< 0.01,1.6K,3.3K
1911,Osiris Cosmic Kids,ETH,304.84,-81.25%,-43.61%,0.02,2.6K,10.0K
1912,MetaLizards Official,ETH,304.14,1.27%,18.16%,0.03,1.4K,4.4K
1913,FNTN,ETH,303.91,null,-100.00%,3,119,185
1914,Ben Baller BlockChains,ETH,303.79,-100.00%,142.92%,---,898,6.0K
1915,CleverGirls NFT,ETH,303.75,-100.00%,-23.10%,< 0.01,2.1K,5.6K
1916,Divine Assembly,ETH,303.14,null,-75.05%,0.01,1.7K,3.5K
1917,888 Inner Circle - Blue Realm,ETH,302.98,281.54%,-23.79%,---,2.5K,8.9K
1918,Ksoids,ETH,302.82,null,-100.00%,---,236,1.0K
1919,Mad Banana Union,ETH,302.59,-100.00%,15.76%,0.02,2.3K,7.0K
1920,Meta Mansions by KEYS,ETH,302.16,-43.54%,null,1.4,1.2K,4.4K
1921,Rich Dwarves Tribe,ETH,300.88,null,50.46%,< 0.01,3.0K,4.5K
1922,JOYWORLD JOYtoys,ETH,300.7,98.33%,-67.97%,0.06,1.5K,3.4K
1923,Machine Hallucinations - Nature Dreams,ETH,300.69,null,null,---,2,2
1924,Kamagang,ETH,300.19,null,-63.99%,---,1.2K,3.2K
1925,Planetary Property Association: Surrealestates,ETH,300.14,-1.94%,-51.10%,0.07,5.3K,10.0K
1926,Libertad Parametrizada by zJorge,ETH,300.06,null,-100.00%,1.39,111,243
1927,JPG PEOPLE by Debbie Tea,ETH,299.99,377.63%,3.14%,0.01,4.6K,8.9K
1928,Nice Drips,ETH,299.94,-100.00%,-47.59%,< 0.01,3.1K,11.1K
1929,Samot Club,ETH,299.68,-100.00%,-62.69%,0.09,577,3.0K
1930,SHIBABEAST,ETH,299.62,20.00%,127.98%,0.02,1.4K,2.5K
1931,Animathereum,ETH,299.49,11.11%,1800.00%,< 0.01,2.2K,10.0K
1932,MadBulL,ETH,298,-100.00%,null,---,204,493
1933,Worst Case by 3LAU - royal,ETH,298,-100.00%,-75.20%,---,283,333
1934,Goopdoods by Goopdude - Official Collection,ETH,297.49,-28.43%,null,0.02,2.7K,8.0K
1935,Project Godjira Genesis,ETH,297.48,-100.00%,-45.72%,11.6,321,330
1936,Gator World NFT,ETH,297.06,-100.00%,-17.50%,0.01,1.3K,3.0K
1937,Citizenz Genesis,ETH,296.93,-72.73%,-51.18%,0.02,2.2K,5.0K
1938,Outlaw Gals MC,ETH,296.76,-100.00%,-53.98%,0.01,1.9K,6.0K
1939,Metakrew,ETH,296.42,-42.80%,40.44%,0.1,3.2K,7.3K
1940,Pixelmon Trainers,ETH,296.09,null,null,8,20,20
1941,Just Steak,ETH,295.71,null,-100.00%,---,880,1.3K
1942,Joseon Dynasty,KLAY,"777,328.51",169.66%,218.67%,---,421,1.4K
1943,Boss Llamas,ETH,295.61,null,-100.00%,---,84,100
1944,Quan LAND Sale in The Sandbox,ETH,295.56,null,null,---,2,8
1945,MissCryptoClub,ETH,295.54,-100.00%,63.78%,0.05,1.3K,3.1K
1946,MegaToads,ETH,295.38,277.80%,111.99%,1.1,586,925
1947,The Last Raptor,ETH,294.92,38.57%,-53.27%,---,1.1K,1.9K
1948,Fortune Dao Genesis,ETH,294.87,80.67%,-55.66%,1.75,555,667
1949,Bit Monsters NFT,ETH,294.72,-100.00%,-94.62%,< 0.01,2.0K,6.7K
1950,Pulses Of Imagination,ETH,294.26,null,null,0.04,406,1.0K
1951,Rookie League,ETH,293.11,null,null,---,2.0K,10.0K
1952,Buckets Club,ETH,293.01,null,-52.39%,0.84,640,1.0K
1953,Rowhomes,ETH,292.94,null,186.36%,2.45,75,101
1954,One Hour Time Pieces,ETH,292.8,null,-28.43%,0.35,287,500
1955,Project MetaStonez,ETH,292.32,3.33%,-20.05%,0.03,559,2.2K
1956,MutantKongz,ETH,292.29,-100.00%,null,0.3,179,500
1957,TIMEPieces Long Neckie Women of the Year by Nyla Hayes,ETH,292.28,73.89%,-59.60%,0.17,652,1.0K
1958,CryptoMasterpieces,ETH,292.2,null,null,---,67,126
1959,Origins by PixelGan,ETH,292.08,null,null,0.5,67,100
1960,Adofo-X,ETH,290.2,null,-24.86%,0.02,557,1.0K
1961,EtherOrcs Items,ETH,289.72,-31.56%,11.33%,< 0.01,842,6
1962,Wrapped Ether Rock,ETH,289,null,null,---,9,9
1963,ALIENEGRA x EDC,ETH,288.46,219.80%,-22.46%,0.1,1.2K,1.8K
1964,Bushidos,ETH,288.16,-52.38%,-88.04%,0.02,2.4K,8.9K
1965,The NFTBirds,ETH,288.04,-100.00%,245.92%,0.08,716,1.5K
1966,LaMelo Ball Collectibles,ETH,288,null,-7.57%,0.02,3.1K,8.2K
1967,BrokeBoyz,ETH,287.78,-55.17%,-51.59%,0.04,1.8K,6.3K
1968,Dogs of Elon,ETH,287.32,-6.09%,-19.85%,0.03,2.7K,10.0K
1969,Deathbats Club,ETH,287.26,-17.96%,-10.30%,0.06,4.9K,10.0K
1970,CryptoPervs,ETH,286.73,-100.00%,117.63%,0.12,272,1.1K
1971,CryptoWolvesClub,ETH,286.58,-100.00%,-90.26%,0.02,1.9K,3.3K
1972,Rain Boy Club (RBC),ETH,286.36,-67.30%,115.58%,0.05,1.7K,4.0K
1973,EvolutionApesOfficial,ETH,286.04,153.33%,-83.83%,0.01,2.5K,5.3K
1974,PixaWizards,ETH,285.95,null,-7.22%,0.09,480,1.0K
1975,Cyber Hornets Colony Club,ETH,285.7,-21.30%,-81.63%,0.05,2.0K,8.9K
1976,MuleSquad,ETH,285.52,12.82%,278.77%,---,351,690
1977,SSX3LAU,ETH,285.39,null,-14.29%,---,1.3K,5.7K
1978,Crypto Native - Mirage Gallery,ETH,284.88,null,null,0.05,373,980
1979,Noun GAN Study,ETH,284.86,-100.00%,null,---,62,64
