Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
177,DourDarcels,ETH,"8,533.89",-3.94%,-36.70%,0.88,5.1K,10.0K
178,phase by Loren Bednar,ETH,"8,517.56",null,-1.68%,1.35,604,1.0K
179,Edenhorde,ETH,"8,506.03",0.82%,-23.18%,0.37,3.3K,8.7K
180,The Sandbox ASSETS,ETH,"8,386.99",24.71%,371.09%,< 0.01,30.8K,2.3K
181,Antonym: GENESIS,ETH,"8,383.75",-6.63%,-77.30%,0.4,5.2K,8.9K
182,The Vogu Collective,ETH,"8,265.50",469.75%,18.71%,0.14,2.8K,7.8K
183,X Rabbits Club,ETH,"8,252.25",-61.73%,-37.66%,0.16,3.3K,7.5K
184,FishyFam,ETH,"8,181.71",27.89%,-4.62%,0.13,6.0K,10.0K
185,Sappy Seals,ETH,"8,179.48",-54.19%,54.45%,0.88,1.1K,10.0K
186,Metasaurs by Dr. DMT,ETH,"8,169.10",-58.68%,-19.55%,0.08,5.2K,10.0K
187,Slotie NFT,ETH,"8,060.91",-8.23%,-10.40%,0.69,4.0K,10.0K
188,KnownOrigin,ETH,"8,052.03",-80.39%,-23.29%,< 0.01,11.1K,58.5K
189,Skulptuur by Piter Pasma,ETH,"8,015.95",-100.00%,196.86%,1.17,572,1.0K
190,CatBlox Genesis Collection,ETH,"8,008.19",190.48%,207.91%,0.54,5.1K,10.0K
191,Pigments by Darien Brito,ETH,"7,984.95",null,775.83%,1.69,675,1.0K
192,Crypto Coven,ETH,"7,908.97",-25.06%,-36.48%,0.96,4.8K,9.8K
193,Flyfish Club,ETH,"7,762.38",208.36%,-21.87%,4.21,1.3K,3.0K
194,Wicked Ape Bone Club,ETH,"7,673.23",-32.44%,45.97%,0.05,4.9K,10.0K
195,Stoner Cats,ETH,"7,608.64",-12.43%,-35.89%,0.25,5.1K,10.4K
196,BASTARD GAN PUNKS V2,ETH,"7,587.45",null,20.17%,0.19,2.8K,11.3K
197,The Walking Dead LAND Sale in The Sandbox,ETH,"7,535.61",null,null,---,2,8
198,Cupcats Official,ETH,"7,496.17",-0.25%,-22.13%,0.25,1.8K,5.0K
199,Wrapped MoonCatsRescue - Unofficial,ETH,"7,495.85",null,-19.03%,0.65,766,1.7K
200,Starcatchers,ETH,"7,488.79",-0.34%,-44.46%,0.25,5.7K,10.0K
201,Galaxy Fight Club,ETH,"7,277.25",147.99%,8.22%,0.46,2.6K,10.1K
202,Dippies,ETH,"7,276.97",-14.35%,-58.97%,0.3,5.7K,8.9K
203,Party Ape Billionaire Club,ETH,"7,273.69",-69.13%,111.64%,0.1,4.2K,7.3K
204,Nifty League DEGENs,ETH,"7,185.54",-60.75%,-46.71%,0.57,3.3K,9.9K
205,Crypto Unicorns Market,ETH,"7,180.61",-15.87%,48.39%,1.24,505,10.0K
206,MekaApes Game by OogaVerse,ETH,"7,179.32",77.11%,-37.73%,0.02,1.8K,36.2K
207,T-O-S The Other Side,ETH,"7,167.60",-3.92%,-32.79%,0.29,1.3K,8.9K
208,More Than Gamers | MTG,ETH,"7,135.88",-51.29%,-18.04%,0.08,3.7K,10.1K
209,GNSS by MGXS,ETH,"7,127.13",-37.34%,-61.19%,0.78,2.0K,1.6K
210,Apocalyptic Apes,ETH,"7,111.82",-33.45%,24.77%,0.43,3.6K,8.9K
211,Swampverse,ETH,"7,080.01",-31.89%,269.75%,0.39,4.7K,9.6K
212,Habbo Avatars,ETH,"6,918.05",4807.86%,-52.44%,0.13,4.4K,11.6K
213,Deafbeef,ETH,"6,916.71",null,null,28,103,222
214,Ape Gang Unmigrated,ETH,"6,876.24",85.00%,-16.81%,0.17,1.4K,10.0K
215,Shiba Social Club Official Collection,ETH,"6,838.47",-60.16%,56.58%,0.07,5.0K,7.8K
216,FOMO MOFOS,ETH,"6,824.72",20.89%,-48.78%,0.18,4.3K,8.0K
